iter	Passed	Remaining
427	1671	2233
428	1674	2229
429	1677	2223
430	1680	2219
431	1683	2213
432	1686	2208
433	1689	2203
434	1692	2198
435	1695	2193
436	1698	2188
437	1703	2185
438	1706	2181
439	1710	2177
440	1713	2172
441	1717	2167
442	1720	2163
443	1723	2157
444	1726	2152
445	1731	2150
446	1734	2145
447	1737	2140
448	1740	2136
449	1743	2131
450	1747	2127
451	1750	2122
452	1753	2117
453	1756	2112
454	1759	2107
455	1762	2102
456	1767	2100
457	1771	2096
458	1774	2091
459	1777	2087
460	1780	2082
461	1783	2077
462	1786	2072
463	1789	2067
464	1792	2062
465	1796	2059
466	1802	2057
467	1806	2053
468	1809	2048
469	1811	2043
470	1815	2038
471	1817	2033
472	1820	2028
473	1823	2023
474	1827	2019
475	1831	2015
476	1834	2011
477	1837	2006
478	1840	2001
479	1844	1998
480	1847	1993
481	1851	1989
482	1854	1984
483	1857	1980
484	1860	1975
485	1864	1971
486	1867	1967
487	1870	1962
488	1873	1958
489	1876	1953
490	1879	1948
491	1882	1943
492	1885	1939
493	1889	1935
494	1894	1932
495	1897	1928
496	1901	1924
497	1904	1920
498	1908	1915
499	1911	1911
500	1914	1907
501	1918	1902
502	1922	1899
503	1927	1896
504	1930	1892
505	1934	1888
506	1937	1884
507	1940	1879
508	1943	1874
509	1946	1870
510	1949	1865
511	1952	1861
512	1956	1857
513	1959	1853
514	1963	1848
515	1966	1844
516	1969	1839
517	1973	1835
518	1976	1831
519	1978	1826
520	1982	1822
521	1985	1818
522	1989	1814
523	1994	1811
524	1997	1807
525	2001	1803
526	2004	1798
527	2007	1794
528	2011	1790
529	2014	1786
530	2017	1781
531	2021	1778
532	2024	1773
533	2027	1769
534	2031	1765
535	2034	1761
536	2037	1756
537	2040	1752
538	2043	1747
539	2046	1743
540	2049	1738
541	2053	1735
542	2057	1731
543	2061	1727
544	2064	1723
545	2067	1719
546	2071	1715
547	2074	1710
548	2077	1706
549	2081	1702
550	2084	1698
551	2088	1695
552	2092	1691
553	2095	1686
554	2098	1682
555	2102	1678
556	2104	1673
557	2108	1669
558	2111	1665
559	2114	1661
560	2118	1657
561	2122	1653
562	2125	1649
563	2128	1645
564	2131	1641
565	2134	1636
566	2137	1632
567	2140	1628
568	2143	1623
569	2149	1621
570	2152	1617
571	2156	1613
572	2160	1609
573	2163	1605
574	2166	1601
575	2169	1596
576	2172	1592
577	2175	1588
578	2178	1584
579	2182	1580
580	2187	1577
581	2190	1573
582	2193	1568
