iter	Logloss
0	0.6780972948
1	0.6648972455
2	0.6503886803
3	0.6393361559
4	0.6287506702
5	0.6163894803
6	0.6017396964
7	0.5916886423
8	0.5820794199
9	0.5731358996
10	0.5648827646
11	0.5564415876
12	0.5490187477
13	0.5425720589
14	0.5346765705
15	0.5265291251
16	0.5198295444
17	0.5148971408
18	0.5085548326
19	0.5028379104
20	0.4955323537
21	0.4899136786
22	0.4840631672
23	0.4778356365
24	0.4734614877
25	0.4700808058
26	0.4654728759
27	0.4615700666
28	0.4580649582
29	0.454515345
30	0.4509970721
31	0.4473310732
32	0.4419826807
33	0.4394055161
34	0.4358276666
35	0.4332338595
36	0.4309420492
37	0.4281717188
38	0.4256746629
39	0.4233972512
40	0.4213717218
41	0.4188169592
42	0.4171868867
43	0.4152306201
44	0.413232392
45	0.4112325182
46	0.4089905982
47	0.4075949426
48	0.4055952932
49	0.4036159889
50	0.4013395496
51	0.3995339637
52	0.3974085789
53	0.3958403643
54	0.3932161518
55	0.3914558934
56	0.3899656184
57	0.3886992137
58	0.3872196721
59	0.3852508769
60	0.3833465576
61	0.3820398742
62	0.3802919201
63	0.3783531937
64	0.376365512
65	0.3750730028
66	0.3733601664
67	0.3723619498
68	0.3710253472
69	0.3700878667
70	0.3693375681
71	0.368034475
72	0.3667643304
73	0.3655166626
74	0.3644581215
75	0.363444347
76	0.3622764887
77	0.3611401203
78	0.360101251
79	0.3590468986
80	0.3568971671
81	0.3557956172
82	0.3550124823
83	0.3540588828
84	0.3531179241
85	0.3516762677
86	0.3507856481
87	0.3501004238
88	0.3493010951
89	0.3484042299
90	0.3476700876
91	0.3456384621
92	0.3446376277
93	0.3439500472
94	0.3432889826
95	0.3427355149
96	0.3415645525
97	0.3407402039
98	0.3399206423
99	0.3389336829
100	0.338277929
101	0.3372970282
102	0.3363338545
103	0.3350252264
104	0.334430919
105	0.3338370978
106	0.333292157
107	0.3322899014
108	0.3316449184
109	0.3309590957
110	0.3303491181
111	0.3292870615
112	0.3287540511
113	0.3278448067
114	0.3269456228
115	0.3262974982
116	0.325436162
117	0.3245280397
118	0.3235190148
119	0.3228627373
120	0.3222698511
121	0.3218675127
122	0.3212387235
123	0.3201538161
124	0.3195424547
125	0.318810893
126	0.3177242279
127	0.3170188455
128	0.3163820903
129	0.3155424829
130	0.3149003796
131	0.3141700146
132	0.3130338706
133	0.3117655399
134	0.310719434
135	0.3101991018
136	0.30976748
137	0.3093575122
138	0.3087397183
139	0.3081350701
140	0.3075820324
141	0.3068517797
142	0.3062660928
143	0.3051873188
144	0.3045220843
145	0.3041145287
146	0.3036512861
147	0.3032453761
148	0.3026526769
149	0.3018841089
150	0.3013640385
151	0.3008981219
152	0.3001128739
153	0.2997299082
154	0.2990055458
155	0.2986081254
156	0.2980411941
157	0.2975975485
158	0.2969085469
159	0.296557146
160	0.2956670499
161	0.2948847752
162	0.2942969378
163	0.2936149672
164	0.293147218
165	0.2926154417
166	0.2920011259
167	0.2913844352
168	0.290651284
169	0.2901388804
170	0.2897327647
171	0.2894557504
172	0.2891376346
173	0.2879658119
174	0.2871862112
175	0.2866947698
176	0.2862622878
177	0.2859011257
178	0.285435527
179	0.2848159566
180	0.2843636718
181	0.2841212703
182	0.2839047675
183	0.2835238962
184	0.2831271489
185	0.2826855977
186	0.2824121176
187	0.2821371415
188	0.2815547644
189	0.2811756882
190	0.2807957892
191	0.2803313685
192	0.2798283895
193	0.2792918261
194	0.2788950976
195	0.2783149644
196	0.2776788076
197	0.2772501403
198	0.2766750934
199	0.2760933147
200	0.2756394592
201	0.275272519
